user_id,job_string,task_id,event_change,time_diff,session,task,job
AccusingMelon,arctic-disappearing-act,3,Not Swapped,296.534,1,1,1
AccusingMelon,arctic-cause-of-death,4,Swapped,435.389,1,1,0
AccusingMelon,kelp-urchin-farm,5,Not Swapped,78.447,1,0,1
AccusingMelon,kelp-refuge-failure,6,Not Swapped,349.037,1,3,0
AdequateCourt,kelp-welcome,9,Not Swapped,625.099,1,6,1
AdequateCourt,kelp-bull-kelp-forest,10,Not Swapped,345.029,2,2,1
AdequateCourt,kelp-shop-welcome,11,Not Swapped,350.895,1,3,1
AdequateCourt,kelp-energy,12,Not Swapped,305.219,1,1,1
AdequateCourt,coral-turtle-population,13,Not Swapped,461.773,1,1,1
AdequateCourt,arctic-salmon-monitoring,14,Not Swapped,295.52,1,1,1
AdequateCourt,arctic-missing-whale,15,Swapped,1339.729,1,1,0
AdequateCourt,displaced-reef,16,Not Swapped,1080.066,1,3,1
AdequateCourt,arctic-underneath,17,Not Swapped,1562.981,1,1,1
AdequateCourt,arctic-missing-whale,18,Swapped,785.664,1,0,0
AdequateCourt,kelp-mussel-fest,19,Not Swapped,475.796,1,0,0
AdequateNorm,kelp-welcome,20,Not Swapped,245.513,1,6,1
AdequateNorm,kelp-bull-kelp-forest,21,Not Swapped,233.171,1,2,1
AdequateNorm,kelp-shop-welcome,22,Not Swapped,98.979,1,3,1
AdequateNorm,displaced-reef,23,Not Swapped,221.344,1,3,1
AdequateNorm,coral-turtle-population,24,Not Swapped,398.221,1,0,1
AdequateNorm,kelp-energy,25,Not Swapped,144.956,1,1,1
AdequateNorm,arctic-missing-whale,26,Not Swapped,485.91600000000005,2,3,1
AdequateNorm,arctic-salmon-monitoring,27,Not Swapped,181.641,1,1,1
AdequateNorm,coral-fake-fix,28,Not Swapped,581.803,1,1,1
AdjacentBroker,coral-fishy-bizz,30,Not Swapped,288.522,1,1,1
AdjacentBroker,coral-hunting-lions,31,Not Swapped,828.166,1,2,0
AdoredReset,arctic-in-ice,32,Not Swapped,668.589,1,2,1
AgelessGrin,kelp-welcome,34,Not Swapped,695.7,1,6,1
AgelessGrin,kelp-bull-kelp-forest,35,Not Swapped,412.46,1,2,1
AgelessGrin,kelp-shop-welcome,36,Not Swapped,318.503,1,3,1
AimlessStance,kelp-welcome,37,Not Swapped,1567.721,3,6,1
AimlessStance,kelp-bull-kelp-forest,38,Not Swapped,261.318,1,2,1
AimlessStance,kelp-shop-welcome,39,Not Swapped,469.899,1,3,1
AimlessStance,displaced-reef,40,Swapped,986.5260000000001,5,3,0
AimlessStance,bayou-shrimp-yields,41,Swapped,1250.397,3,0,0
AimlessStance,displaced-reef,42,Not Swapped,184.103,5,0,1
AimlessStance,bayou-shrimp-yields,43,Not Swapped,30.916,3,0,1
AlarmedBark,kelp-welcome,44,Not Swapped,1911.597,1,6,1
AlarmedBark,kelp-bull-kelp-forest,45,Not Swapped,1435.569,1,2,0
AlertZone,kelp-welcome,46,Not Swapped,913.775,1,6,1
AlertZone,kelp-bull-kelp-forest,47,Not Swapped,206.254,1,2,1
AlertZone,kelp-shop-welcome,48,Not Swapped,136.751,1,3,1
AlertZone,kelp-energy,49,Not Swapped,35.211,1,0,0
AllCoach,kelp-musselfest-solution,50,Swapped,267.651,3,0,0
AllCoach,kelp-refuge-failure,51,Swapped,783.201,1,3,0
AllCoach,turtle-danger,52,Swapped,61248.401,1,0,0
AllCoach,bayou-oxygen-tracking,53,Not Swapped,553.966,1,2,1
AllCoach,bayou-blue-waters,54,Swapped,1300.242,1,0,0
