user_id,job_string,task_id,event_change,time_diff,session,task,job
AbleLeft,kelp-welcome,1,Not Swapped,674.94,1,6,1
AbleLeft,kelp-bull-kelp-forest,2,Not Swapped,431.073,1,2,1
AbleLeft,kelp-shop-welcome,3,Not Swapped,3690.549,1,3,1
AbleLeft,arctic-missing-whale,4,Not Swapped,533.4,1,1,0
AcidicAlcove,kelp-welcome,6,Not Swapped,532.979,1,6,1
AcidicAlcove,kelp-bull-kelp-forest,7,Not Swapped,178.579,1,2,1
AcidicAlcove,kelp-shop-welcome,8,Not Swapped,126.105,1,3,1
AcidicAlcove,displaced-reef,9,Not Swapped,210.42,1,3,1
AcidicAlcove,bayou-shrimp-yields,10,Not Swapped,278.749,1,1,1
AcidicAlcove,arctic-missing-whale,11,Not Swapped,462.348,1,3,1
AcidicAlcove,arctic-salmon-monitoring,12,Not Swapped,265.543,1,1,1
AcidicAlcove,coral-turtle-population,13,Not Swapped,31.89,1,0,1
AcidicAlcove,coral-fake-fix,14,Not Swapped,413.708,1,3,1
AcidicAlcove,coral-lionfish-conspiracy,15,Not Swapped,189.217,1,2,1
AcidicAlcove,coral-stressed,16,Not Swapped,348.236,1,2,1
AcidicAlcove,kelp-energy,17,Not Swapped,385.452,1,1,1
AcidicAlcove,kelp-mussel-fest,18,Not Swapped,187.391,1,2,1
AcidicAlcove,kelp-start-refuge,19,Not Swapped,163.057,1,2,1
AcidicAlcove,kelp-urchin-barren-viz,20,Not Swapped,292.678,1,4,1
AcidicAlcove,kelp-urchin-barren-predict,21,Not Swapped,158.61,1,1,1
AcidicAlcove,kelp-save-urchin-barren,22,Not Swapped,253.92,1,1,1
AcidicAlcove,kelp-musselfest-solution,23,Not Swapped,269.008,1,3,1
AcidicAlcove,kelp-urchin-farm,24,Not Swapped,235.66,1,1,1
AcidicAlcove,kelp-refuge-failure,25,Not Swapped,834.497,1,8,1
AcidicAlcove,kelp-refuge-failure-simulation,26,Not Swapped,110.78,1,1,1
AcidicAlcove,coral-casting-shade,27,Not Swapped,436.153,1,6,1
AcidicAlcove,coral-eat-seaweed,28,Not Swapped,362.04,1,1,1
AcidicAlcove,coral-fishy-bizz,29,Not Swapped,139.25,1,1,1
AcidicAlcove,coral-turtle-stability,30,Not Swapped,306.61,1,3,1
AcidicAlcove,coral-ocean-plastics,31,Not Swapped,181.37,1,1,1
AcidicAlcove,coral-much-algae,32,Not Swapped,226.228,1,2,1
AcidicAlcove,coral-tang-checkup,33,Not Swapped,359.115,1,5,1
AcidicAlcove,coral-hunting-lions,34,Not Swapped,1650.416,1,7,1
AcidicAlcove,bayou-blue-waters,35,Not Swapped,790.891,1,5,1
AcidicAlcove,bayou-boom-cause,36,Not Swapped,398.786,1,2,1
AcidicAlcove,bayou-alt-energy,37,Swapped,1897.009,2,0,0
AcidicAlcove,bayou-dirty-detritus,38,Not Swapped,332.038,1,4,1
AcidicAlcove,turtle-danger,39,Not Swapped,575.882,1,3,1
AcidicAlcove,turtle-danger2,40,Swapped,916.268,1,2,0
AcidicAlcove,final-final,41,Not Swapped,1124.966,1,7,1
AcousticSuite,bayou-shrimp-yields,42,Not Swapped,1498.642,1,0,0
AcousticTowel,turtle-danger,43,Not Swapped,1161.894,2,4,1
AcousticTowel,kelp-save-urchin-barren,44,Not Swapped,292.347,1,1,1
AcousticTowel,arctic-seal-habitats,45,Not Swapped,608.061,1,4,1
AcousticTowel,above-n-below,46,Not Swapped,475.368,2,4,1
AcousticTowel,arctic-isolated-instance,47,Not Swapped,964.109,1,8,1
AcousticTowel,kelp-start-refuge,48,Not Swapped,453.302,1,1,1
AcousticTowel,kelp-refuge-failure,49,Not Swapped,254.297,1,3,0
AdeptTent,kelp-welcome,50,Not Swapped,411.003,1,6,1
AdeptTent,kelp-bull-kelp-forest,51,Not Swapped,585.338,2,2,0
AdhesiveCitron,kelp-welcome,52,Not Swapped,906.198,1,6,1
AdhesiveCitron,kelp-bull-kelp-forest,53,Not Swapped,1319.173,4,2,1
AdhesiveCitron,kelp-shop-welcome,54,Not Swapped,854.321,1,3,1
AdhesiveCitron,kelp-energy,55,Not Swapped,1373.538,2,1,1
AdoredReset,bayou-alt-energy,58,Swapped,1091.936,1,0,0
AdoredReset,bayou-blue-waters,59,Swapped,947.892,2,2,0
AdoredReset,arctic-in-ice,60,Not Swapped,181.26,1,0,0
AimlessRake,coral-much-algae,62,Not Swapped,768.81,1,2,1
AimlessRake,coral-hunting-lions,63,Not Swapped,426.7,1,0,0
AllCoach,coral-fake-fix,66,Swapped,457.843,1,1,0
AllCoach,coral-ocean-plastics,67,Swapped,55393.812,1,1,0
AllCoach,coral-stressed,68,Swapped,124087.659,1,0,0
AllCoach,coral-turtle-stability,69,Not Swapped,1596.203,1,2,1
AllCoach,coral-fake-fix,70,Swapped,1.6179999999999999,1,0,0
AllCoach,coral-ocean-plastics,71,Not Swapped,66.938,1,0,1
AllCoach,coral-stressed,72,Not Swapped,119.062,1,0,1
AllCoach,coral-fake-fix,73,Swapped,3564.593,1,0,0
AllCoach,kelp-mussel-fest,74,Not Swapped,157.79,1,2,1
AllCoach,kelp-urchin-barren-predict,75,Swapped,176441.697,1,0,0
AllCoach,arctic-isolated-instance,76,Swapped,1353.907,1,2,0
AllCoach,arctic-seal-habitats,77,Not Swapped,814.868,1,2,1
AllCoach,above-n-below,78,Swapped,645.523,1,0,0
AllCoach,bayou-alt-energy,79,Swapped,137553.013,1,1,0
AllCoach,bayou-blue-waters,80,Swapped,1316.776,1,2,0
AllCoach,kelp-urchin-farm,81,Not Swapped,235.707,1,1,1
AllCoach,kelp-musselfest-solution,82,Not Swapped,202.821,1,0,0
AngeredGarb,kelp-welcome,83,Not Swapped,145.164,1,6,1
AngeredGarb,kelp-bull-kelp-forest,84,Not Swapped,110.698,1,2,1
AngeredGarb,kelp-shop-welcome,85,Not Swapped,84.827,1,3,1
AngeredGarb,kelp-energy,86,Not Swapped,78.084,1,1,1
AngeredGarb,coral-turtle-population,87,Not Swapped,13.483,1,0,1
AngeredGarb,arctic-salmon-monitoring,88,Not Swapped,31.171,1,0,1
AngeredGarb,arctic-missing-whale,89,Not Swapped,427.076,1,3,1
AngeredGarb,coral-fake-fix,90,Not Swapped,192.181,1,3,1
AngeredGarb,coral-lionfish-conspiracy,91,Not Swapped,108.2,1,2,1
AngeredGarb,coral-stressed,92,Not Swapped,213.785,1,2,1
AngeredGarb,displaced-reef,93,Not Swapped,63.483,1,3,1
AngeredGarb,bayou-shrimp-yields,94,Not Swapped,105.872,1,1,1
AngeredGarb,kelp-mussel-fest,95,Not Swapped,102.682,1,2,1
AngeredGarb,kelp-urchin-barren-viz,96,Not Swapped,208.05,1,4,1
AngeredGarb,kelp-urchin-barren-predict,97,Not Swapped,91.567,1,1,1
AngeredGarb,kelp-start-refuge,98,Not Swapped,92.182,1,2,1
AngeredGarb,kelp-save-urchin-barren,99,Not Swapped,122.753,1,1,1
AngeredGarb,kelp-musselfest-solution,100,Not Swapped,194.687,1,3,1
AngeredGarb,kelp-urchin-farm,101,Not Swapped,94.841,1,1,1
AngeredGarb,kelp-refuge-failure,102,Not Swapped,589.706,2,8,1
AngeredGarb,kelp-refuge-failure-simulation,103,Not Swapped,71.832,1,1,1
AngeredGarb,coral-casting-shade,104,Not Swapped,331.947,1,6,1
AngeredGarb,coral-eat-seaweed,105,Not Swapped,173.123,1,1,1
AngeredGarb,coral-fishy-bizz,106,Not Swapped,190.75,1,2,1
AngeredGarb,coral-much-algae,107,Not Swapped,144.369,1,3,1
AngeredGarb,coral-ocean-plastics,108,Not Swapped,165.604,1,1,1
AngeredGarb,coral-tang-checkup,109,Not Swapped,210.683,1,5,1
AngeredGarb,coral-turtle-stability,110,Not Swapped,63.266,1,1,1
AngeredGarb,coral-hunting-lions,111,Not Swapped,1030.314,1,6,1
AngeredGarb,bayou-blue-waters,112,Not Swapped,418.143,2,5,1
AngeredGarb,bayou-dirty-detritus,113,Not Swapped,199.163,1,2,1
AngeredGarb,bayou-oxygen-tracking,114,Not Swapped,175.696,1,2,1
AngeredGarb,bayou-shrimp-tastrophe,115,Not Swapped,491.634,1,1,1
AngeredGarb,turtle-danger,116,Not Swapped,295.027,1,3,1
AngeredGarb,turtle-danger2,117,Not Swapped,776.358,1,2,1
AngeredGarb,bayou-boom-cause,118,Not Swapped,232.888,1,2,1
AngeredGarb,final-final,119,Not Swapped,706.946,1,7,1
AngeredGarb,bayou-hide-n-seek,120,Not Swapped,678.828,1,3,1
AngeredGarb,bayou-reef-decision,121,Not Swapped,231.07,1,1,1
AngeredGarb,bayou-alt-energy,122,Not Swapped,450.322,1,3,1
AngeredGarb,bayou-methanogen,123,Not Swapped,261.921,1,2,1
AngeredGarb,arctic-disappearing-act,124,Not Swapped,146.152,1,1,1
AngeredGarb,arctic-cause-of-death,125,Swapped,9.783,1,0,0
AngeredGarb,arctic-in-ice,126,Not Swapped,60.83,1,2,0
AngeredPin,kelp-welcome,127,Not Swapped,424.469,1,6,1
AngeredPin,kelp-bull-kelp-forest,128,Not Swapped,303.699,1,2,1
AngeredPin,kelp-shop-welcome,129,Not Swapped,210.086,1,3,1
AngeredPin,coral-turtle-population,130,Not Swapped,65.847,1,0,1
AngryMisfit,coral-turtle-population,131,Not Swapped,119.541,1,0,0
AnnualPolyp,kelp-welcome,132,Not Swapped,516.876,1,6,1
AnnualPolyp,kelp-bull-kelp-forest,133,Not Swapped,288.635,1,2,1
AnnualPolyp,kelp-shop-welcome,134,Not Swapped,221.074,1,3,1
AnnualPolyp,coral-turtle-population,135,Not Swapped,174.465,1,1,1
AnnualPolyp,arctic-missing-whale,136,Swapped,1231.0729999999999,5,0,0
AnnualPolyp,displaced-reef,137,Not Swapped,345.814,2,3,1
AnnualPolyp,bayou-shrimp-yields,138,Not Swapped,259.672,1,1,1
AnnualPolyp,arctic-missing-whale,139,Not Swapped,575.614,5,2,1
AnnualPolyp,arctic-salmon-monitoring,140,Not Swapped,306.822,1,1,1
AnnualPolyp,kelp-urchin-barren-viz,141,Not Swapped,527.498,1,4,1
AnnualPolyp,kelp-energy,142,Not Swapped,2416.348,2,2,1
AnxiousMin,coral-hunting-lions,143,Swapped,49.431,1,0,0
AnxiousMin,arctic-isolated-instance,144,Not Swapped,656.949,1,6,1
AnxiousMin,final-final,145,Not Swapped,972.558,1,7,1
AridRadish,above-n-below,146,Swapped,440.423,1,0,0
AridRadish,final-final,147,Not Swapped,763.148,1,7,1
AromaticNoun,kelp-bull-kelp-forest,148,Not Swapped,776.874,1,2,0
ArtlessOval,kelp-welcome,149,Not Swapped,442.678,2,6,1
ArtlessOval,kelp-bull-kelp-forest,150,Not Swapped,252.84,1,2,1
ArtlessOval,kelp-shop-welcome,151,Not Swapped,161.589,1,3,1
AstuteGrass,kelp-welcome,152,Not Swapped,642.278,1,6,1
AstuteGrass,kelp-bull-kelp-forest,153,Not Swapped,560.524,1,2,1
AstuteGrass,kelp-shop-welcome,154,Not Swapped,285.196,1,3,1
AstuteGrass,displaced-reef,155,Not Swapped,749.297,2,3,1
AstuteGrass,bayou-shrimp-yields,156,Not Swapped,389.786,1,1,1
AstuteGrass,coral-turtle-population,157,Not Swapped,228.426,1,1,1
AstuteGrass,arctic-missing-whale,158,Not Swapped,493.859,1,3,1
AstuteGrass,arctic-salmon-monitoring,159,Not Swapped,565.623,2,2,1
AstuteGrass,kelp-energy,160,Not Swapped,8369.575,1,1,0
AwkwardIdea,kelp-welcome,162,Not Swapped,434.661,1,6,1
AwkwardIdea,kelp-bull-kelp-forest,163,Not Swapped,288.756,1,2,1
AwkwardIdea,kelp-shop-welcome,164,Not Swapped,155.373,1,3,1
AwkwardIdea,kelp-energy,165,Not Swapped,198.584,1,1,1
AwkwardIdea,arctic-missing-whale,166,Swapped,518.919,2,0,0
AwkwardIdea,arctic-salmon-monitoring,167,Not Swapped,9685.858,1,1,1
AwkwardIdea,coral-turtle-population,168,Not Swapped,130.581,1,2,1
AwkwardIdea,coral-fake-fix,169,Not Swapped,812.4300000000001,2,3,1
AwkwardIdea,coral-lionfish-conspiracy,170,Not Swapped,2721.817,1,2,1
AwkwardIdea,arctic-missing-whale,171,Not Swapped,1501.523,2,3,1
