user_id,job_string,task_id,event_change,time_diff,session,task,job
AbleWill,kelp-welcome,1,Not Swapped,436.589,1,6,1
AbleWill,kelp-bull-kelp-forest,2,Not Swapped,370.455,1,2,1
AbleWill,kelp-shop-welcome,3,Not Swapped,215.88,1,3,1
AbleWill,coral-turtle-population,4,Not Swapped,231.733,1,0,1
AbleWill,arctic-missing-whale,5,Swapped,2126.979,1,0,0
AbleWill,displaced-reef,6,Not Swapped,504.43,1,3,1
AbleWill,bayou-shrimp-yields,7,Not Swapped,231.703,1,1,1
AbleWill,arctic-missing-whale,8,Not Swapped,541.612,1,2,1
AbsentNod,kelp-welcome,11,Not Swapped,391.98,1,6,1
AbsentNod,kelp-bull-kelp-forest,12,Not Swapped,572.552,1,2,1
AbsentNod,kelp-shop-welcome,13,Not Swapped,292.512,1,3,1
AbsentNod,kelp-energy,14,Not Swapped,337.284,1,1,1
AbsentNod,displaced-reef,15,Not Swapped,4029.741,1,3,1
AbsentNod,bayou-shrimp-yields,16,Not Swapped,281.876,1,1,1
AbsentNod,arctic-missing-whale,17,Not Swapped,436.85,1,3,1
AbsentNod,arctic-salmon-monitoring,18,Not Swapped,78.786,1,0,1
AbsentNod,arctic-underneath,19,Not Swapped,445.793,1,1,1
AbsentNod,arctic-stationary-survival,20,Not Swapped,657.153,1,1,1
AbsentNod,kelp-urchin-barren-viz,21,Not Swapped,269.505,1,4,1
AbsentNod,coral-turtle-population,22,Not Swapped,28.965,1,0,1
AbsentNod,coral-fake-fix,23,Not Swapped,390.683,1,3,1
AbsentNod,coral-lionfish-conspiracy,24,Not Swapped,221.287,1,2,1
AbsentNod,coral-stressed,25,Not Swapped,15118.411,2,2,1
AbsentNod,coral-ocean-plastics,26,Not Swapped,443.239,1,1,1
AbsentNod,coral-turtle-stability,27,Not Swapped,644.012,1,2,1
AbsentNod,arctic-disappearing-act,28,Not Swapped,1067.8890000000001,2,1,1
AbsentNod,arctic-isolated-instance,29,Swapped,1663.155,2,0,0
AbsentNod,kelp-mussel-fest,30,Not Swapped,396.232,1,2,1
AbsentNod,kelp-urchin-farm,31,Not Swapped,72180.01699999999,2,2,1
AbsentNod,kelp-musselfest-solution,32,Not Swapped,1086.575,1,3,1
AbsentNod,kelp-start-refuge,33,Not Swapped,306.776,1,2,0
AbsoluteDoctor,kelp-welcome,34,Not Swapped,1065.005,1,6,1
AbsoluteDoctor,kelp-bull-kelp-forest,35,Not Swapped,326.78,1,2,1
AbsoluteDoctor,kelp-shop-welcome,36,Not Swapped,161.362,1,3,1
AbsoluteDoctor,arctic-missing-whale,37,Swapped,9295.034,2,1,0
AbsoluteDoctor,arctic-salmon-monitoring,38,Swapped,855.021,1,1,0
AbsoluteDoctor,arctic-missing-whale,39,Swapped,429.501,2,0,0
AbsoluteDoctor,arctic-salmon-monitoring,40,Not Swapped,639.464,1,0,1
AbsoluteDoctor,arctic-missing-whale,41,Not Swapped,411.671,2,2,0
AbsoluteForay,kelp-welcome,42,Not Swapped,527.464,3,6,1
AbsoluteForay,kelp-bull-kelp-forest,43,Not Swapped,555.005,1,2,1
AbsoluteForay,kelp-shop-welcome,44,Not Swapped,186.73,1,3,1
AbsoluteForay,kelp-energy,45,Not Swapped,456.459,2,1,1
AbsoluteForay,coral-turtle-population,46,Not Swapped,319.61,2,2,1
AbsoluteForay,arctic-missing-whale,47,Swapped,1090.715,4,1,0
AbsoluteForay,displaced-reef,48,Not Swapped,378.346,1,3,1
AbsoluteForay,bayou-shrimp-yields,49,Not Swapped,141.134,1,1,1
AbsoluteForay,arctic-missing-whale,50,Not Swapped,480.619,4,1,2
AbsoluteForay,arctic-salmon-monitoring,51,Not Swapped,297.789,1,1,1
AbsoluteForay,kelp-mussel-fest,52,Not Swapped,612.242,2,3,0
AbsurdCrew,coral-turtle-population,54,Not Swapped,222.71,1,1,1
AbsurdCrew,displaced-reef,55,Not Swapped,387.356,1,3,1
AbsurdCrew,bayou-shrimp-yields,56,Not Swapped,232.553,1,1,1
AbsurdCrew,coral-stressed,57,Not Swapped,778.484,2,2,1
AbsurdCrew,arctic-missing-whale,58,Not Swapped,525.266,2,3,1
AbsurdCrew,arctic-salmon-monitoring,59,Not Swapped,80.073,1,0,0
AccurateSkate,kelp-welcome,62,Not Swapped,328.485,1,0,1
AccurateSkate,kelp-bull-kelp-forest,63,Not Swapped,665.113,1,2,1
AccurateSkate,kelp-shop-welcome,64,Not Swapped,335.603,1,2,1
AccurateSkate,kelp-energy,65,Not Swapped,70587.082,1,1,1
AccurateSkate,coral-turtle-population,66,Not Swapped,178.239,1,1,1
AccurateSkate,arctic-missing-whale,67,Swapped,412.19,2,1,0
AccurateSkate,arctic-salmon-monitoring,68,Not Swapped,220.541,2,1,1
AccurateSkate,kelp-mussel-fest,69,Not Swapped,4770.875,1,2,1
AccurateSkate,kelp-start-refuge,70,Not Swapped,200.069,1,2,1
AccurateSkate,kelp-urchin-barren-viz,71,Not Swapped,492.101,1,4,1
AccurateSkate,arctic-missing-whale,72,Not Swapped,314.698,2,2,1
AccurateSkate,coral-fake-fix,73,Not Swapped,462.339,1,2,1
AccurateSkate,coral-lionfish-conspiracy,74,Not Swapped,1148.611,2,3,1
AccurateSkate,displaced-reef,75,Not Swapped,2094.6,2,3,1
AccurateSkate,bayou-shrimp-yields,76,Not Swapped,123.437,1,1,1
AccurateSkate,bayou-blue-waters,77,Swapped,747.171,1,3,0
AccurateSkate,coral-turtle-stability,78,Not Swapped,1255.33,2,3,1
AccurateSkate,arctic-disappearing-act,79,Swapped,867.991,2,1,0
AccurateSkate,arctic-in-ice,80,Not Swapped,1117.57,2,3,1
AccurateSkate,arctic-picky-eaters,81,Not Swapped,365.985,1,2,1
AccurateSkate,turtle-danger,82,Not Swapped,995.356,2,0,0
AccusedAglet,kelp-welcome,83,Not Swapped,528.342,1,6,1
AccusedAglet,kelp-bull-kelp-forest,84,Not Swapped,379.062,1,2,1
AccusedAglet,kelp-shop-welcome,85,Not Swapped,298.891,1,3,1
AccusedAglet,kelp-energy,86,Not Swapped,284.579,1,1,1
AccusedAglet,coral-turtle-population,87,Not Swapped,47.61,1,0,1
AccusedAglet,displaced-reef,88,Not Swapped,301.305,1,3,1
AccusedCamera,kelp-welcome,89,Not Swapped,802.906,1,6,1
AccusedCamera,kelp-bull-kelp-forest,90,Not Swapped,623.893,1,2,1
AccusedCamera,kelp-shop-welcome,91,Not Swapped,129.323,1,0,0
AccusedFlair,kelp-welcome,92,Not Swapped,512.24,1,0,1
AccusedFlair,kelp-bull-kelp-forest,93,Not Swapped,338.662,1,2,1
AccusedFlair,kelp-shop-welcome,94,Not Swapped,482.509,1,3,1
AccusedFlair,kelp-energy,95,Not Swapped,549.902,1,1,1
AccusedFlair,displaced-reef,96,Not Swapped,6665.919,1,3,1
AccusedFlair,bayou-shrimp-yields,97,Not Swapped,326.185,1,1,1
AccusedFlair,coral-turtle-population,98,Not Swapped,181.725,1,1,1
AccusedFlair,arctic-missing-whale,99,Not Swapped,249863.331,1,3,1
AccusedFlair,arctic-salmon-monitoring,100,Not Swapped,366.208,1,1,1
AccusedFlair,coral-fake-fix,101,Not Swapped,1762.491,2,3,1
AccusedFlair,coral-lionfish-conspiracy,102,Not Swapped,580.272,1,3,1
AccusedFlair,kelp-urchin-barren-viz,103,Not Swapped,7031.26,1,4,1
AccusedFlair,kelp-mussel-fest,104,Not Swapped,91228.19,1,2,1
AccusedFlair,kelp-start-refuge,105,Not Swapped,354.402,1,2,1
AccusedFlair,coral-fishy-bizz,106,Not Swapped,81988.896,1,2,1
AccusedFlair,kelp-urchin-barren-predict,107,Not Swapped,1021.309,1,1,1
AccusedFlair,turtle-danger,108,Not Swapped,1414.779,1,4,1
AccusedFlair,arctic-disappearing-act,109,Not Swapped,64827.155999999995,2,1,1
AccusedFlair,arctic-cause-of-death,110,Not Swapped,863.105,1,3,1
AccusedFlair,arctic-time-of-death,111,Not Swapped,45697.018,1,0,1
AccusedFlair,arctic-in-ice,112,Not Swapped,1641.799,1,2,1
AccusedFlair,kelp-save-urchin-barren,113,Not Swapped,3874.299,1,1,1
AccusedFlair,coral-turtle-stability,114,Not Swapped,533.335,1,3,1
AccusedFlair,coral-much-algae,115,Not Swapped,1100.134,1,5,1
AccusedFlair,coral-tang-checkup,116,Not Swapped,519.438,1,5,1
AccusedFlair,bayou-blue-waters,117,Not Swapped,900.771,1,4,1
AccusedFlair,kelp-musselfest-solution,118,Not Swapped,544.784,1,3,1
AccusedFlair,kelp-refuge-failure,119,Not Swapped,2419.781,1,8,1
AccusedFlair,kelp-refuge-failure-simulation,120,Not Swapped,281.825,1,1,1
AccusedFlair,kelp-urchin-farm,121,Not Swapped,441.969,1,1,1
AccusedFlair,bayou-dirty-detritus,122,Not Swapped,917.447,1,4,1
AccusedFlair,bayou-oxygen-tracking,123,Not Swapped,1338.421,1,2,1
AccusedFlair,bayou-shrimp-tastrophe,124,Not Swapped,940.168,1,0,0
AccusedFlower,kelp-welcome,125,Not Swapped,617.086,1,6,1
AccusedFlower,kelp-bull-kelp-forest,126,Not Swapped,265.248,1,2,1
AccusedFlower,kelp-shop-welcome,127,Not Swapped,207.201,1,3,1
AccusedPuppet,kelp-welcome,128,Not Swapped,713.221,1,6,1
AccusedPuppet,kelp-bull-kelp-forest,129,Not Swapped,481.203,1,2,1
AccusedPuppet,kelp-shop-welcome,130,Not Swapped,151.102,1,3,1
AccusedPuppet,kelp-energy,131,Not Swapped,193.948,1,0,0
AcidicDrum,kelp-welcome,132,Not Swapped,645.042,1,6,1
AcidicDrum,kelp-bull-kelp-forest,133,Not Swapped,423.644,1,2,1
AcidicDrum,kelp-shop-welcome,134,Not Swapped,383.944,1,3,1
AcidicDrum,kelp-energy,135,Not Swapped,808.715,1,1,0
AcidicGain,kelp-welcome,136,Not Swapped,678.038,1,6,1
AcidicGain,kelp-bull-kelp-forest,137,Not Swapped,236.982,2,2,1
AcidicGain,kelp-shop-welcome,138,Not Swapped,133.002,1,3,1
AcidicGain,kelp-energy,139,Not Swapped,282.672,2,1,1
AcidicGain,arctic-salmon-monitoring,140,Not Swapped,94.331,1,0,1
AcidicGain,coral-turtle-population,141,Not Swapped,34.925,1,0,1
AcidicGain,coral-fake-fix,142,Not Swapped,351.073,1,3,1
AcidicGain,coral-lionfish-conspiracy,143,Not Swapped,465.252,1,2,1
AcidicGain,arctic-missing-whale,144,Not Swapped,386.194,1,3,1
AcidicGain,arctic-underneath,145,Not Swapped,65.544,1,0,1
AcidicGain,arctic-stationary-survival,146,Not Swapped,268.057,1,1,1
AcidicGain,coral-stressed,147,Not Swapped,374.011,1,1,0
AcidicNorth,coral-ocean-plastics,148,Not Swapped,96.146,1,0,0
AcousticSuite,kelp-welcome,150,Not Swapped,1598.4940000000001,4,6,1
AcousticSuite,kelp-bull-kelp-forest,151,Not Swapped,868.198,1,2,1
AcousticSuite,kelp-shop-welcome,152,Not Swapped,1869.8570000000002,4,3,1
AcousticSuite,kelp-energy,153,Swapped,1208.4279999999999,4,0,0
AcousticSuite,arctic-salmon-monitoring,154,Swapped,786.632,1,0,0
AcousticSuite,bayou-shrimp-yields,155,Swapped,2069.501,5,0,0
AcousticSuite,kelp-energy,156,Swapped,229.993,4,0,0
AcousticSuite,bayou-shrimp-yields,157,Not Swapped,823.2850000000001,5,1,0
ActiveSocks,kelp-welcome,158,Not Swapped,387.552,1,6,1
ActiveSocks,kelp-bull-kelp-forest,159,Not Swapped,285.884,1,2,1
ActiveSocks,kelp-shop-welcome,160,Not Swapped,239.765,1,3,1
ActiveSocks,coral-turtle-population,161,Not Swapped,291.858,1,0,1
AdjacentLocust,kelp-start-refuge,164,Not Swapped,157.319,1,2,1
AdjacentLocust,kelp-urchin-barren-viz,165,Not Swapped,307.329,1,4,1
AdjacentLocust,bayou-blue-waters,166,Swapped,549.512,1,3,0
AdjacentLocust,coral-casting-shade,167,Not Swapped,1123.788,2,6,1
AdjacentLocust,coral-eat-seaweed,168,Not Swapped,1151.148,1,1,1
AdjacentLocust,coral-much-algae,169,Swapped,452.344,1,3,0
AdjacentLocust,coral-ocean-plastics,170,Swapped,7.045,1,0,0
AdjacentLocust,coral-much-algae,171,Swapped,68.61,1,0,0
AdjacentLocust,coral-ocean-plastics,172,Swapped,446.158,1,1,0
AdjacentLocust,arctic-disappearing-act,173,Not Swapped,1421.8559999999998,2,2,1
AdjacentLocust,arctic-underneath,174,Not Swapped,218.809,1,1,1
AdjacentLocust,arctic-cause-of-death,175,Not Swapped,1503.382,1,1,1
AdjacentLocust,arctic-in-ice,176,Not Swapped,140.765,1,1,1
AdjacentLocust,arctic-picky-eaters,177,Not Swapped,236.77,1,2,1
AdjacentLocust,arctic-salmon-competition,178,Not Swapped,378.521,1,1,1
AdjacentLocust,arctic-seal-habitats,179,Not Swapped,336.337,1,2,1
AdjacentLocust,above-n-below,180,Not Swapped,442.0,2,3,1
AdjacentLyrics,kelp-welcome,181,Not Swapped,2367.976,1,6,1
AdjacentLyrics,kelp-bull-kelp-forest,182,Not Swapped,571.089,1,2,1
AdjacentLyrics,kelp-shop-welcome,183,Not Swapped,242.348,1,3,1
AdmiringPlate,kelp-welcome,184,Not Swapped,80221.583,1,6,1
