user_id,job_string,task_id,event_change,time_diff,session,task,job
AbnormalCloud,kelp-welcome,2,Not Swapped,580.253,1,6,1
AbnormalCloud,kelp-bull-kelp-forest,3,Not Swapped,237.741,1,2,1
AbnormalCloud,kelp-shop-welcome,4,Not Swapped,217.073,1,3,1
AbnormalCloud,kelp-energy,5,Not Swapped,539.22,2,1,0
AbsentEraser,kelp-welcome,7,Not Swapped,311.961,1,6,1
AbsentEraser,kelp-bull-kelp-forest,8,Not Swapped,128.124,1,2,1
AbsentEraser,kelp-shop-welcome,9,Not Swapped,63.256,1,3,1
AbsentEraser,kelp-energy,10,Not Swapped,157.423,1,1,1
AbsentVisual,kelp-bull-kelp-forest,12,Not Swapped,225.381,1,0,1
AbsentVisual,kelp-shop-welcome,13,Not Swapped,560.058,1,3,1
AbsoluteCost,kelp-welcome,14,Not Swapped,501.965,1,6,1
AbsoluteCost,kelp-bull-kelp-forest,15,Not Swapped,383.896,1,2,1
AbsoluteCost,kelp-shop-welcome,16,Not Swapped,196.958,1,3,1
AbsoluteCost,kelp-energy,17,Not Swapped,232.125,1,1,1
AbsoluteCost,arctic-missing-whale,18,Swapped,627.393,1,0,0
AbsoluteCost,displaced-reef,19,Not Swapped,239.574,1,3,1
AbsoluteCost,bayou-shrimp-yields,20,Not Swapped,181.861,1,1,1
AbsoluteCost,arctic-missing-whale,21,Not Swapped,317.291,1,2,1
AbsoluteCost,arctic-salmon-monitoring,22,Not Swapped,356.603,1,0,1
AbsoluteCost,coral-turtle-population,23,Not Swapped,129.799,1,1,1
AbsoluteCost,coral-fake-fix,24,Not Swapped,273.345,1,1,1
AbsoluteCost,coral-lionfish-conspiracy,25,Not Swapped,186.279,1,2,1
AbsoluteCost,kelp-urchin-barren-viz,26,Not Swapped,330.279,2,5,1
AbsoluteCost,kelp-mussel-fest,27,Not Swapped,917.165,1,2,1
AbsoluteCost,kelp-start-refuge,28,Not Swapped,289.67,1,2,1
AbsoluteCost,kelp-urchin-barren-predict,29,Not Swapped,266.362,1,1,1
AbsoluteCost,coral-stressed,30,Not Swapped,230.341,1,2,1
AbsoluteCost,kelp-save-urchin-barren,31,Not Swapped,565.657,1,1,1
AbsoluteCost,bayou-boom-cause,32,Not Swapped,589.137,1,2,1
AbsoluteCost,bayou-alt-energy,33,Not Swapped,2258.4449999999997,3,3,1
AbsoluteCost,turtle-danger,34,Not Swapped,2245.736,4,4,1
AbsoluteCost,coral-fishy-bizz,35,Not Swapped,561.51,1,2,1
AbsoluteCost,coral-ocean-plastics,36,Not Swapped,738.061,1,2,1
AbsoluteCost,coral-turtle-stability,37,Not Swapped,308.519,1,1,1
AbsoluteCost,arctic-disappearing-act,38,Not Swapped,2976.373,1,1,1
AbsoluteCost,arctic-cause-of-death,39,Not Swapped,565.892,1,1,1
AbsoluteCost,arctic-in-ice,40,Not Swapped,206.956,1,2,1
AbsoluteCost,arctic-time-of-death,41,Not Swapped,190.494,1,0,1
AbsoluteCost,arctic-underneath,42,Not Swapped,232.328,1,1,1
AbsoluteCost,arctic-stationary-survival,43,Not Swapped,153.904,1,1,1
AbsoluteCost,arctic-isolated-instance,44,Not Swapped,3247.938,3,1,0
AbsurdCrew,kelp-welcome,47,Not Swapped,514.314,1,6,1
AbsurdCrew,kelp-bull-kelp-forest,48,Not Swapped,487.724,1,2,1
AbsurdCrew,kelp-shop-welcome,49,Not Swapped,239.631,1,3,1
AbsurdCrew,kelp-energy,50,Not Swapped,271.307,1,1,1
AccurateSkate,kelp-welcome,56,Not Swapped,2147.808,5,6,2
AccurateSkate,kelp-bull-kelp-forest,57,Not Swapped,665.113,1,2,1
AccurateSkate,kelp-shop-welcome,58,Not Swapped,335.603,1,2,1
AccurateSkate,kelp-energy,59,Not Swapped,202.251,1,1,0
AccusingDuck,displaced-reef,61,Not Swapped,793.514,1,3,1
AccusingDuck,bayou-shrimp-yields,62,Not Swapped,401.017,1,1,1
