user_id,job_string,task_id,event_change,time_diff,session,task,job
AbleTunnel,kelp-welcome,1,Not Swapped,782.839,1,6,1
AbleTunnel,kelp-bull-kelp-forest,2,Not Swapped,34.416,1,0,0
AbruptBroker,kelp-welcome,5,Not Swapped,457.205,1,6,1
AbruptBroker,kelp-bull-kelp-forest,6,Not Swapped,169.542,1,0,0
AbruptEntry,kelp-welcome,7,Not Swapped,857.421,4,8,2
AbruptEntry,kelp-bull-kelp-forest,8,Not Swapped,450.698,1,2,1
AbruptEntry,kelp-shop-welcome,9,Not Swapped,93.932,1,0,0
AbruptProfit,kelp-welcome,11,Not Swapped,74082.369,1,6,1
AbruptProfit,kelp-bull-kelp-forest,12,Not Swapped,749.6740000000001,8,2,1
AbruptProfit,kelp-shop-welcome,13,Not Swapped,320.863,1,3,1
AbruptProfit,arctic-missing-whale,14,Swapped,958.867,2,0,0
AbruptProfit,coral-turtle-population,15,Not Swapped,35.535,1,0,1
AbruptProfit,kelp-energy,16,Not Swapped,126.096,1,1,1
AbruptProfit,displaced-reef,17,Not Swapped,104.764,1,0,1
AbruptProfit,bayou-shrimp-yields,18,Swapped,602.252,3,0,0
AbruptProfit,kelp-start-refuge,19,Swapped,3016.737,3,0,0
AbruptProfit,arctic-missing-whale,20,Not Swapped,230.853,2,0,1
AbruptProfit,arctic-underneath,21,Not Swapped,51.439,1,0,1
AbruptProfit,arctic-salmon-monitoring,22,Not Swapped,188.431,1,0,1
AbruptProfit,arctic-stationary-survival,23,Not Swapped,186.512,1,1,1
AbruptProfit,coral-fake-fix,24,Not Swapped,1713.425,1,1,1
AbruptProfit,coral-lionfish-conspiracy,25,Not Swapped,58.437,1,0,1
AbruptProfit,bayou-shrimp-yields,26,Not Swapped,305.71,3,1,1
AbruptProfit,kelp-start-refuge,27,Not Swapped,96.249,3,0,1
AbruptProfit,kelp-mussel-fest,28,Not Swapped,1185.48,1,0,1
AbruptProfit,kelp-musselfest-solution,29,Not Swapped,1572.486,1,3,1
AbruptProfit,kelp-urchin-barren-viz,30,Not Swapped,376.416,1,4,1
AbruptProfit,kelp-refuge-failure,31,Not Swapped,1900.277,4,8,1
AbruptProfit,kelp-urchin-farm,32,Not Swapped,299.583,1,2,1
AbruptProfit,kelp-refuge-failure-simulation,33,Not Swapped,108.761,1,1,1
AbruptProfit,kelp-urchin-barren-predict,34,Not Swapped,140.485,1,1,1
