user_id,job_string,task_id,event_change,time_diff,session,task,job
AbnormalBet,kelp-welcome,1,Not Swapped,456.326,1,6,1
AbnormalBet,kelp-bull-kelp-forest,2,Not Swapped,3701.769,1,2,1
AbnormalBet,kelp-shop-welcome,3,Not Swapped,264.941,1,3,1
AbnormalBet,kelp-energy,4,Not Swapped,1753.127,1,1,1
AbsentKeep,kelp-welcome,5,Not Swapped,422.889,1,6,1
AbsentKeep,kelp-bull-kelp-forest,6,Not Swapped,251.05,1,2,1
AbsentKeep,kelp-shop-welcome,7,Not Swapped,199.144,2,3,1
AbsentKeep,kelp-energy,8,Not Swapped,361.591,1,1,1
AbsentKeep,displaced-reef,9,Not Swapped,165.697,1,3,1
AbsentKeep,bayou-shrimp-yields,10,Not Swapped,225.975,1,1,1
AbsoluteCost,arctic-isolated-instance,11,Not Swapped,33.768,1,0,0
AbsorbedGrid,kelp-welcome,12,Not Swapped,373.409,1,6,1
AbsorbedGrid,kelp-bull-kelp-forest,13,Not Swapped,317.036,1,2,1
AbsorbedGrid,kelp-shop-welcome,14,Not Swapped,88704.061,1,3,1
AbsorbedGrid,coral-turtle-population,15,Swapped,448.437,1,1,0
AbsorbedGrid,displaced-reef,16,Not Swapped,402.387,1,3,1
AbsorbedGrid,coral-turtle-population,17,Not Swapped,19.035,1,0,1
AbsorbedGrid,bayou-shrimp-yields,18,Not Swapped,222.254,1,1,1
AbsorbedGrid,arctic-missing-whale,19,Not Swapped,549.17,1,3,1
AbsorbedGrid,arctic-salmon-monitoring,20,Not Swapped,396.274,1,1,1
AbsorbedGrid,arctic-underneath,21,Not Swapped,263.686,1,1,1
AbsorbedGrid,kelp-start-refuge,22,Not Swapped,264.586,1,2,1
AbsorbedGrid,kelp-urchin-barren-viz,23,Not Swapped,1951.169,1,4,1
AbsorbedGrid,kelp-mussel-fest,24,Not Swapped,333002.645,1,2,1
AbsorbedGrid,kelp-urchin-barren-predict,25,Not Swapped,256.246,1,1,1
AbsorbedGrid,coral-fake-fix,26,Not Swapped,638.764,1,3,1
AbsorbedGrid,arctic-stationary-survival,27,Not Swapped,739.361,1,1,1
AbsorbedGrid,kelp-save-urchin-barren,28,Not Swapped,243.867,1,1,1
AbsorbedGrid,coral-ocean-plastics,29,Not Swapped,427.458,1,1,1
AbsorbedGrid,coral-lionfish-conspiracy,30,Not Swapped,19.529,1,0,0
AbstractSense,kelp-welcome,32,Not Swapped,357.345,1,6,1
AbstractSense,kelp-bull-kelp-forest,33,Not Swapped,188.73,1,2,1
